lon,lat,landslide,elevation,slope,aspect,landcover_class,7D_mean_rain,24H_rain,ndvi
107.45,32.5625,1,709,14.01250076,166.6504669,40,0.0,0.0,0.7906
-122.663,45.42,1,38,3.957868576,90.0,50,18.13776779,40.07725525,0.3495
-75.3587,-11.1295,1,848,5.064103127,68.57112885,40,6.80943203,6.858416557,0.6566
81.708,28.8378,1,1396,11.7067728,321.3717651,50,18.85938072,0.0,0.6977
123.8978,10.3336,1,75,6.570525169,90.0,10,8.995998382,12.66487885,0.375
124.9668,10.7004,1,7,1.854334116,180.0,40,27.49975394,35.95830154,0.7193
-117.2665,48.2797,1,640,3.956801891,200.5892181,30,7.697383404,5.414423466,0.1622
-107.622,24.9531,1,60,6.708310604,65.61393738,10,11.18764686,12.06947136,0.7175
-114.4194,43.6846,1,1814,9.622767448,67.54805756,30,0.7742556929,0.0,0.546
100.0845,23.89,1,1471,3.704791784,0.0,50,4.620853901,0.0,0.3139
102.695,25.0967,1,2021,10.98915291,213.5264282,60,2.064283848,8.769051552,0.412
-122.8178,45.8647,1,37,5.391849041,80.1244278,30,8.771548272,16.43404007,0.4409
-122.0704,45.377,1,307,23.72516441,353.9802551,10,25.60379602,74.39439392,0.7222
105.5299971,23.14383048,1,620,32.49679184,236.0076141,30,21.70690918,20.51141739,0.066
124.0419,12.5655,1,120,27.30496025,53.43211365,10,39.75107194,33.12320328,0.4148
-122.67,45.521,1,-7,23.01665497,67.60114288,10,14.54654598,34.39108276,0.0854
-83.071,35.507,1,981,8.36487484,7.772418499,10,16.88661194,41.88827133,0.4493
-122.893,46.11,1,1,0.0,0.0,80,27.56268691,0.0,0.2145
-122.334,47.432,1,112,8.422571182,29.00201225,50,12.28509808,23.73596764,0.3056
-121.75,48.538,1,71,6.205977917,26.72212601,30,19.49160004,45.00807953,0.0617
-122.2,48.72,1,88,0.9274099469,0.0,30,17.89938736,41.86643219,0.5002
-122.909,46.1299,1,5,3.084614992,205.6867828,10,25.56205939,40.30582047,0.1277
-122.273,47.538,1,34,0.0,0.0,10,9.551312446,7.460237026,0.0257
-122.037,48.929,1,198,14.30901623,230.6056519,10,25.4031353,32.1230545,0.6643
5.765,36.7946,1,20,0.9274099469,0.0,10,7.806027413,22.35175705,0.6854
-122.2072,47.7573,1,14,5.540944099,311.8717651,10,7.263694764,0.0,0.0322
110.3442,1.531,1,11,0.9274099469,0.0,50,36.8787613,41.07209015,0.1759
116.662,-8.5073,1,15,1.318754315,45.31696701,10,10.91583252,0.0,0.6356
-13.2287,8.4841,1,42,2.780288458,0.0,50,23.6426487,63.91164398,0.0327
115.0668,5.031,1,8,1.313978553,314.8894348,10,20.3061142,0.0,0.5199
-99.1276,19.4271,1,2237,3.48084116,122.15802,50,0.0,0.0,0.066
88.2788,26.8826,1,1548,18.276968,261.5445557,50,12.34044743,17.6260376,0.4078
-118.05,34.162,1,247,2.166308641,148.8569641,50,0.0,0.0,0.3882
88.3143,26.8572,1,1082,17.28250122,27.81099319,10,12.87622452,16.97360039,0.6928
123.226,9.29,1,323,13.20932484,101.9407043,10,12.18907833,42.22320557,0.9207
121.56,14.545,1,264,14.1945076,262.6460571,10,15.97401047,0.0,0.3952
-79.4305,37.9137,1,347,0.0,0.0,30,3.753997565,26.27798271,0.5845
145.9063,-41.0528,1,20,2.224568129,33.54598999,50,5.462339878,7.115521908,0.3112
83.9806,28.2039,1,831,2.298942327,293.7799988,50,31.0438633,0.0,0.4334
84.2279,27.9447,1,547,34.74931717,240.6568909,10,16.05672836,40.59907532,0.8084
131.5729,34.0496,1,11,3.479666233,254.5606537,50,13.28319264,32.81396484,0.2087
-83.712126,36.770029,1,324,5.913034916,231.3037109,10,2.751462221,12.84015751,0.7442
132.4592,34.3852,1,6,0.9274099469,0.0,50,20.70062065,0.0,0.1322
103.5868,31.483,1,1392,18.13512802,299.6195984,60,4.911366938,0.0,0.0647
88.527,27.478,1,759,20.54767227,235.8455505,10,8.69338417,0.0,0.6002
85.71,28.0,1,3111,36.5908165,242.7491455,10,2.766125441,0.0,0.7856
83.8791,28.1046,1,877,19.69489479,256.931427,10,48.66723252,0.0,0.6109
-132.7348,56.5692,1,25,5.746907234,241.1483154,10,0.0,0.0,0.686
-122.5562,47.2846,1,78,2.780288458,180.0,50,6.109274388,6.482867241,0.6736
109.9187,-7.571,1,259,7.665538311,76.08133698,10,31.34120561,31.7424202,0.7428
104.4530851,22.69040325,1,673,28.02812004,62.86225128,10,18.67352867,29.44349098,0.1336
-85.3697,35.0672,1,557,3.583998203,219.1634827,10,10.00122261,12.41446209,0.4921
-85.3361,35.1052,1,255,6.561839104,189.9051971,10,8.788497924,14.85101318,0.4833
-123.1587,45.2335,1,50,3.825837374,223.430954,30,8.389063836,21.65312767,0.6951
-43.07409842,-22.89234445,1,151,17.55101776,202.8864136,10,35.909523,96.80327606,0.7007
94.48214677,25.3098633,1,1540,32.46967697,160.2639465,30,12.59787464,25.96508026,0.6018
74.8609,36.6567,1,3173,18.22249603,246.8361206,60,0.0,0.0,0.1113
123.9153,10.395,1,78,2.100722075,116.1876678,10,8.344901086,13.04441261,0.5797
79.6367,29.7334,1,1579,31.08826637,152.3696136,30,10.25034142,53.81429291,0.6357
123.72,10.57,1,5,0.0,0.0,10,8.69401741,10.31037998,0.4904
123.98,10.77,1,130,25.24374008,78.11217499,10,11.28826428,12.61178303,0.8211
-42.6018,-22.2331,1,1014,30.79612541,141.9639282,10,10.55611038,66.53991699,0.2322
74.3333,33.8778,1,2709,29.24790192,303.3154907,30,16.50434685,36.48324966,0.0262
-73.0562,44.9378,1,89,2.777613401,70.5092392,10,15.12694263,27.55312157,0.5993
78.7963,30.7666,1,3842,34.22147369,1.587226152,30,27.03965378,0.0,0.0514
83.5754,27.7394,1,1031,31.77588844,225.12323,10,38.94522857,81.50888824,0.1109
123.8725,10.335,1,70,8.013288498,234.9044037,10,8.598121644,9.652334213,0.5322
